sample_index,title,line_index,char_index_in_line,char,context_line,context_around,pypinyin_default,all_candidates,selected_pinyin,selection_basis,notes
20,游子吟,2,1,行,临行密密缝,临行密密,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
20,游子吟,5,1,得,报得三春晖,报得三春,de2,de2/de/dei3,,unverified,
21,清平调·其一,2,6,见,若非群玉山头见,山头见,jian4,jian4/xian4,,unverified,
22,锦瑟,1,4,思,一弦一柱思华年,一柱思华年,si1,si1/sai1,,unverified,
22,锦瑟,7,2,当,只是当时已惘然,只是当时已,dang1,dang1/dang4,,unverified,
23,无题·相见时难别亦难,0,0,相,相见时难别亦难,相见时,xiang1,xiang1/xiang4,,unverified,
23,无题·相见时难别亦难,0,1,见,相见时难别亦难,相见时难,jian4,jian4/xian4,,unverified,
23,无题·相见时难别亦难,5,3,觉,夜吟应觉月光寒,吟应觉月光,jue2,jue2/jiao4,,unverified,
23,无题·相见时难别亦难,7,4,为,青鸟殷勤为探看,殷勤为探看,wei4,wei4/wei2,,unverified,
23,无题·相见时难别亦难,7,6,看,青鸟殷勤为探看,为探看,kan4,kan4/kan1,,unverified,
24,古意,0,3,长,男儿事长征,儿事长征,zhang3,zhang3/chang2,,unverified,
24,古意,1,0,少,少小幽燕客,少小幽,shao3,shao3/shao4,,unverified,
24,古意,7,1,得,未得报恩不得归,未得报恩,de2,de2/de/dei3,,unverified,
24,古意,7,5,得,未得报恩不得归,恩不得归,de2,de2/de/dei3,,unverified,
24,古意,10,1,为,今为羌笛出塞声,今为羌笛,wei4,wei4/wei2,,unverified,
25,西塞山怀古,0,0,王,王濬楼船下益州,王濬楼,wang2,wang2/wang4/yu4,,unverified,
25,西塞山怀古,1,2,王,金陵王气黯然收,金陵王气黯,wang2,wang2/wang4/yu4,,unverified,
25,西塞山怀古,6,4,为,今逢四海为家日,四海为家日,wei4,wei4/wei2,,unverified,
26,听蜀僧濬弹琴 / 听蜀僧浚弹琴,2,0,为,为我一挥手,为我一,wei4,wei4/wei2,,unverified,
26,听蜀僧濬弹琴 / 听蜀僧浚弹琴,6,1,觉,不觉碧山暮,不觉碧山,jue2,jue2/jiao4,,unverified,
26,听蜀僧濬弹琴 / 听蜀僧浚弹琴,7,4,重,秋云暗几重,暗几重,zhong4,zhong4/chong2/tong2,,unverified,
27,筹笔驿,1,3,为,风云常为护储胥,云常为护储,wei4,wei4/wei2,,unverified,
27,筹笔驿,2,1,令,徒令上将挥神笔,徒令上将,ling4,ling4/ling2/ling3/lian2,,unverified,
27,筹笔驿,2,3,将,徒令上将挥神笔,令上将挥神,jiang1,jiang1/jiang4/qiang1,,unverified,
27,筹笔驿,3,1,见,终见降王走传车,终见降王,jian4,jian4/xian4,,unverified,
27,筹笔驿,3,3,王,终见降王走传车,见降王走传,wang2,wang2/wang4/yu4,,unverified,
28,咏怀古迹五首·其三,1,1,长,生长明妃尚有村,生长明妃,zhang3,zhang3/chang2,,unverified,
28,咏怀古迹五首·其三,7,0,分,分明怨恨曲中论,分明怨,fen1,fen1/fen4/fen2,,unverified,
28,咏怀古迹五首·其三,7,5,中,分明怨恨曲中论,恨曲中论,zhong1,zhong1/zhong4,,unverified,
29,月夜,1,1,中,闺中只独看,闺中只独,zhong1,zhong1/zhong4,,unverified,
29,月夜,1,4,看,闺中只独看,只独看,kan4,kan4/kan1,,unverified,
29,月夜,3,3,长,未解忆长安,解忆长安,zhang3,zhang3/chang2,,unverified,
30,送灵澈上人,2,3,斜,荷笠带斜阳,笠带斜阳,xie2,xie2/xia2/cha2/ye2,,unverified,
31,早寒江上有怀 / 早寒有怀,0,1,落,木落雁南度,木落雁南,luo4,luo4/la4/lao4/luo1,,unverified,
31,早寒江上有怀 / 早寒有怀,0,4,度,木落雁南度,雁南度,du4,du4/duo2/zhai2,,unverified,
31,早寒江上有怀 / 早寒有怀,4,3,中,乡泪客中尽,泪客中尽,zhong1,zhong1/zhong4,,unverified,
31,早寒江上有怀 / 早寒有怀,5,4,看,孤帆天际看,天际看,kan4,kan4/kan1,,unverified,
33,寄扬州韩绰判官,3,3,处,玉人何处教吹箫,人何处教吹,chu4,chu4/chu3,,unverified,
33,寄扬州韩绰判官,3,4,教,玉人何处教吹箫,何处教吹箫,jiao4,jiao4/jiao1,,unverified,
34,瑶瑟怨,3,3,中,十二楼中月自明,二楼中月自,zhong1,zhong1/zhong4,,unverified,
35,清平调·名花倾国两相欢,0,5,相,名花倾国两相欢,国两相欢,xiang1,xiang1/xiang4,,unverified,
35,清平调·名花倾国两相欢,1,0,长,长得君王带笑看,长得君,zhang3,zhang3/chang2,,unverified,
35,清平调·名花倾国两相欢,1,1,得,长得君王带笑看,长得君王,de2,de2/de/dei3,,unverified,
35,清平调·名花倾国两相欢,1,3,王,长得君王带笑看,得君王带笑,wang2,wang2/wang4/yu4,,unverified,
35,清平调·名花倾国两相欢,1,6,看,长得君王带笑看,带笑看,kan4,kan4/kan1,,unverified,
36,楚江怀古三首·其一,6,1,中,云中君不见,云中君不,zhong1,zhong1/zhong4,,unverified,
36,楚江怀古三首·其一,6,4,见,云中君不见,君不见,jian4,jian4/xian4,,unverified,
37,宿桐庐江寄广陵旧游,6,0,还,还将两行泪,还将两,hai2,hai2/huan2/fu2,,unverified,
37,宿桐庐江寄广陵旧游,6,1,将,还将两行泪,还将两行,jiang1,jiang1/jiang4/qiang1,,unverified,
37,宿桐庐江寄广陵旧游,6,3,行,还将两行泪,将两行泪,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
38,秋日登吴公台上寺远眺,0,3,落,古台摇落后,台摇落后,luo4,luo4/la4/lao4/luo1,,unverified,
38,秋日登吴公台上寺远眺,2,4,少,野寺来人少,来人少,shao3,shao3/shao4,,unverified,
38,秋日登吴公台上寺远眺,6,3,朝,惆怅南朝事,怅南朝事,chao2,chao2/zhao1/zhu1,,unverified,
38,秋日登吴公台上寺远眺,7,0,长,长江独至今,长江独,zhang3,zhang3/chang2,,unverified,
39,客至,1,1,见,但见群鸥日日来,但见群鸥,jian4,jian4/xian4,,unverified,
39,客至,3,4,为,蓬门今始为君开,今始为君开,wei4,wei4/wei2,,unverified,
39,客至,6,4,相,肯与邻翁相对饮,邻翁相对饮,xiang1,xiang1/xiang4,,unverified,
41,月下独酌四首·其一,0,1,间,花间一壶酒,花间一壶,jian1,jian1/jian4,,unverified,
41,月下独酌四首·其一,1,3,相,独酌无相亲,酌无相亲,xiang1,xiang1/xiang4,,unverified,
41,月下独酌四首·其一,6,3,将,暂伴月将影,伴月将影,jiang1,jiang1/jiang4/qiang1,,unverified,
41,月下独酌四首·其一,7,0,行,行乐须及春,行乐须,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
41,月下独酌四首·其一,11,3,分,醉后各分散,后各分散,fen1,fen1/fen4/fen2,,unverified,
41,月下独酌四首·其一,13,0,相,相期邈云汉,相期邈,xiang1,xiang1/xiang4,,unverified,
43,寻南溪常山道人隐居 / 寻南溪常道士,0,3,行,一路经行处,路经行处,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
43,寻南溪常山道人隐居 / 寻南溪常道士,0,4,处,一路经行处,经行处,chu4,chu4/chu3,,unverified,
43,寻南溪常山道人隐居 / 寻南溪常道士,1,2,见,莓苔见履痕,莓苔见履痕,jian4,jian4/xian4,,unverified,
43,寻南溪常山道人隐居 / 寻南溪常道士,4,2,看,过雨看松色,过雨看松色,kan4,kan4/kan1,,unverified,
43,寻南溪常山道人隐居 / 寻南溪常道士,7,0,相,相对亦忘言,相对亦,xiang1,xiang1/xiang4,,unverified,
44,咏怀古迹五首·其二,0,1,落,摇落深知宋玉悲,摇落深知,luo4,luo4/la4/lao4/luo1,,unverified,
44,咏怀古迹五首·其二,5,6,思,云雨荒台岂梦思,岂梦思,si1,si1/sai1,,unverified,
46,凉州词二首·其一,0,6,间,黄河远上白云间,白云间,jian1,jian1/jian4,,unverified,
46,凉州词二首·其一,3,3,度,春风不度玉门关,风不度玉门,du4,du4/duo2/zhai2,,unverified,
47,渔翁,2,5,见,烟销日出不见人,出不见人,jian4,jian4/xian4,,unverified,
47,渔翁,4,1,看,回看天际下中流,回看天际,kan4,kan4/kan1,,unverified,
47,渔翁,4,5,中,回看天际下中流,际下中流,zhong1,zhong1/zhong4,,unverified,
47,渔翁,5,5,相,岩上无心云相逐,心云相逐,xiang1,xiang1/xiang4,,unverified,
48,利州南渡,0,5,斜,澹然空水带斜晖,水带斜晖,xie2,xie2/xia2/cha2/ye2,,unverified,
48,利州南渡,2,4,看,波上马嘶看棹去,马嘶看棹去,kan4,kan4/kan1,,unverified,
49,赤壁,1,1,将,自将磨洗认前朝,自将磨洗,jiang1,jiang1/jiang4/qiang1,,unverified,
49,赤壁,1,6,朝,自将磨洗认前朝,认前朝,chao2,chao2/zhao1/zhu1,,unverified,
50,金陵图,2,1,看,君看六幅南朝事,君看六幅,kan4,kan4/kan1,,unverified,
50,金陵图,2,5,朝,君看六幅南朝事,幅南朝事,chao2,chao2/zhao1/zhu1,,unverified,
51,过香积寺,3,3,处,深山何处钟,山何处钟,chu4,chu4/chu3,,unverified,
52,登幽州台歌,0,2,见,前不见古人,前不见古人,jian4,jian4/xian4,,unverified,
52,登幽州台歌,1,2,见,后不见来者,后不见来者,jian4,jian4/xian4,,unverified,
53,赋得暮雨送李胄 / 赋得暮雨送李曹,2,4,重,漠漠帆来重,帆来重,zhong4,zhong4/chong2/tong2,,unverified,
53,赋得暮雨送李胄 / 赋得暮雨送李曹,4,4,见,海门深不见,深不见,jian4,jian4/xian4,,unverified,
53,赋得暮雨送李胄 / 赋得暮雨送李曹,6,0,相,相送情无限,相送情,xiang1,xiang1/xiang4,,unverified,
54,寻隐者不遇 / 孙革访羊尊师诗,2,4,中,只在此山中,此山中,zhong1,zhong1/zhong4,,unverified,
54,寻隐者不遇 / 孙革访羊尊师诗,3,4,处,云深不知处,不知处,chu4,chu4/chu3,,unverified,
55,寄令狐郎中,3,5,相,茂陵秋雨病相如,雨病相如,xiang1,xiang1/xiang4,,unverified,
56,遣怀,0,0,落,落魄江湖载酒行,落魄江,luo4,luo4/la4/lao4/luo1,,unverified,
56,遣怀,0,6,行,落魄江湖载酒行,载酒行,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
56,遣怀,1,5,中,楚腰纤细掌中轻,细掌中轻,zhong1,zhong1/zhong4,,unverified,
56,遣怀,2,3,觉,十年一觉扬州梦,年一觉扬州,jue2,jue2/jiao4,,unverified,
56,遣怀,3,1,得,赢得青楼薄幸名,赢得青楼,de2,de2/de/dei3,,unverified,
58,淮上喜会梁川故人 / 淮上喜会梁州故人,0,3,为,江汉曾为客,汉曾为客,wei4,wei4/wei2,,unverified,
58,淮上喜会梁川故人 / 淮上喜会梁州故人,1,0,相,相逢每醉还,相逢每,xiang1,xiang1/xiang4,,unverified,
58,淮上喜会梁川故人 / 淮上喜会梁州故人,1,4,还,相逢每醉还,每醉还,hai2,hai2/huan2/fu2,,unverified,
58,淮上喜会梁川故人 / 淮上喜会梁州故人,3,4,间,流水十年间,十年间,jian1,jian1/jian4,,unverified,
59,贫女,2,6,调,谁爱风流高格调,高格调,diao4,diao4/tiao2,,unverified,
59,贫女,4,1,将,敢将十指夸针巧,敢将十指,jiang1,jiang1/jiang4/qiang1,,unverified,
59,贫女,5,6,长,不把双眉斗画长,斗画长,zhang3,zhang3/chang2,,unverified,
59,贫女,7,0,为,为他人作嫁衣裳,为他人,wei4,wei4/wei2,,unverified,
60,山居秋暝,2,3,间,明月松间照,月松间照,jian1,jian1/jian4,,unverified,
60,山居秋暝,7,0,王,王孙自可留,王孙自,wang2,wang2/wang4/yu4,,unverified,
61,杂诗,2,6,得,等是有家归未得,归未得,de2,de2/de/dei3,,unverified,
62,行宫,0,1,落,寥落古行宫,寥落古行,luo4,luo4/la4/lao4/luo1,,unverified,
62,行宫,0,3,行,寥落古行宫,落古行宫,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
63,金谷园,3,0,落,落花犹似坠楼人,落花犹,luo4,luo4/la4/lao4/luo1,,unverified,
64,秋夜曲,1,5,更,轻罗已薄未更衣,薄未更衣,geng4,geng4/geng1,,unverified,
65,竹里馆,1,3,长,弹琴复长啸,琴复长啸,zhang3,zhang3/chang2,,unverified,
65,竹里馆,3,3,相,明月来相照,月来相照,xiang1,xiang1/xiang4,,unverified,
66,和乐天春词,2,0,行,行到中庭数花朵,行到中,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
66,和乐天春词,2,2,中,行到中庭数花朵,行到中庭数,zhong1,zhong1/zhong4,,unverified,
67,过故人庄,3,4,斜,青山郭外斜,郭外斜,xie2,xie2/xia2/cha2/ye2,,unverified,
67,过故人庄,6,2,重,待到重阳日,待到重阳日,zhong4,zhong4/chong2/tong2,,unverified,
67,过故人庄,7,0,还,还来就菊花,还来就,hai2,hai2/huan2/fu2,,unverified,
68,清平调·其二,2,5,得,借问汉宫谁得似,宫谁得似,de2,de2/de/dei3,,unverified,
69,渡汉江,2,3,更,近乡情更怯,乡情更怯,geng4,geng4/geng1,,unverified,
70,长干行·家临九江水,2,2,长,同是长干人,同是长干人,zhang3,zhang3/chang2,,unverified,
70,长干行·家临九江水,3,3,相,生小不相识,小不相识,xiang1,xiang1/xiang4,,unverified,
71,江南逢李龟年,0,1,王,岐王宅里寻常见,岐王宅里,wang2,wang2/wang4/yu4,,unverified,
71,江南逢李龟年,0,6,见,岐王宅里寻常见,寻常见,jian4,jian4/xian4,,unverified,
71,江南逢李龟年,1,5,度,崔九堂前几度闻,前几度闻,du4,du4/duo2/zhai2,,unverified,
71,江南逢李龟年,3,0,落,落花时节又逢君,落花时,luo4,luo4/la4/lao4/luo1,,unverified,
72,闻官军收河南河北,2,1,看,却看妻子愁何在,却看妻子,kan4,kan4/kan1,,unverified,
72,闻官军收河南河北,5,5,还,青春作伴好还乡,伴好还乡,hai2,hai2/huan2/fu2,,unverified,
72,闻官军收河南河北,6,1,从,即从巴峡穿巫峡,即从巴峡,cong2,cong2/zong4,,unverified,
73,苏武庙,6,3,见,茂陵不见封侯印,陵不见封侯,jian4,jian4/xian4,,unverified,
74,书边事,0,0,调,调角断清秋,调角断,diao4,diao4/tiao2,,unverified,
74,书边事,3,2,落,白日落梁州,白日落梁州,luo4,luo4/la4/lao4/luo1,,unverified,
74,书边事,7,0,长,长愿向南流,长愿向,zhang3,zhang3/chang2,,unverified,
75,和晋陵陆丞早春游望,6,4,调,忽闻歌古调,歌古调,diao4,diao4/tiao2,,unverified,
75,和晋陵陆丞早春游望,7,1,思,归思欲沾巾,归思欲沾,si1,si1/sai1,,unverified,
76,贼平后送人北归,1,4,还,时清独北还,独北还,hai2,hai2/huan2/fu2,,unverified,
76,贼平后送人北归,3,2,见,旧国见青山,旧国见青山,jian4,jian4/xian4,,unverified,
76,贼平后送人北归,6,3,衰,寒禽与衰草,禽与衰草,shuai1,shuai1/suo1/cui1,,unverified,
76,贼平后送人北归,7,0,处,处处伴愁颜,处处伴,chu4,chu4/chu3,,unverified,
76,贼平后送人北归,7,1,处,处处伴愁颜,处处伴愁,chu4,chu4/chu3,,unverified,
77,夜归鹿门山歌 / 夜归鹿门歌,5,6,处,忽到庞公栖隐处,栖隐处,chu4,chu4/chu3,,unverified,
77,夜归鹿门山歌 / 夜归鹿门歌,6,4,长,岩扉松径长寂寥,松径长寂寥,zhang3,zhang3/chang2,,unverified,
78,送杜少府之任蜀州 / 送杜少府之任蜀川,6,1,为,无为在歧路,无为在歧,wei4,wei4/wei2,,unverified,
79,送人东游,0,2,落,荒戍落黄叶,荒戍落黄叶,luo4,luo4/la4/lao4/luo1,,unverified,
79,送人东游,5,4,还,天涯孤棹还,孤棹还,hai2,hai2/huan2/fu2,,unverified,
79,送人东游,6,1,当,何当重相见,何当重相,dang1,dang1/dang4,,unverified,
79,送人东游,6,2,重,何当重相见,何当重相见,zhong4,zhong4/chong2/tong2,,unverified,
79,送人东游,6,3,相,何当重相见,当重相见,xiang1,xiang1/xiang4,,unverified,
79,送人东游,6,4,见,何当重相见,重相见,jian4,jian4/xian4,,unverified,
81,烈女操,0,2,相,梧桐相待老,梧桐相待老,xiang1,xiang1/xiang4,,unverified,
82,与诸子登岘山,4,1,落,水落鱼梁浅,水落鱼梁,luo4,luo4/la4/lao4/luo1,,unverified,
84,留别王侍御维 / 留别王维,1,0,朝,朝朝空自归,朝朝空,chao2,chao2/zhao1/zhu1,,unverified,
84,留别王侍御维 / 留别王维,1,1,朝,朝朝空自归,朝朝空自,chao2,chao2/zhao1/zhu1,,unverified,
84,留别王侍御维 / 留别王维,4,0,当,当路谁相假,当路谁,dang1,dang1/dang4,,unverified,
84,留别王侍御维 / 留别王维,4,3,相,当路谁相假,路谁相假,xiang1,xiang1/xiang4,,unverified,
84,留别王侍御维 / 留别王维,7,0,还,还掩故园扉,还掩故,hai2,hai2/huan2/fu2,,unverified,
85,同题仙游观,0,3,见,仙台初见五城楼,台初见五城,jian4,jian4/xian4,,unverified,
85,同题仙游观,4,3,落,疏松影落空坛静,松影落空坛,luo4,luo4/la4/lao4/luo1,,unverified,
85,同题仙游观,7,1,间,人间亦自有丹丘,人间亦自,jian1,jian1/jian4,,unverified,
86,蜀相,0,1,相,丞相祠堂何处寻,丞相祠堂,xiang1,xiang1/xiang4,,unverified,
86,蜀相,0,5,处,丞相祠堂何处寻,堂何处寻,chu4,chu4/chu3,,unverified,
86,蜀相,5,1,朝,两朝开济老臣心,两朝开济,chao2,chao2/zhao1/zhu1,,unverified,
86,蜀相,7,0,长,长使英雄泪满襟,长使英,zhang3,zhang3/chang2,,unverified,
87,送别 / 山中送别,0,1,中,山中相送罢,山中相送,zhong1,zhong1/zhong4,,unverified,
87,送别 / 山中送别,0,2,相,山中相送罢,山中相送罢,xiang1,xiang1/xiang4,,unverified,
87,送别 / 山中送别,3,0,王,王孙归不归,王孙归,wang2,wang2/wang4/yu4,,unverified,
89,咏怀古迹五首·其四,3,6,中,玉殿虚无野寺中,野寺中,zhong1,zhong1/zhong4,,unverified,
90,没蕃故人,3,2,长,死生长别离,死生长别离,zhang3,zhang3/chang2,,unverified,
91,送魏万之京,0,0,朝,朝闻游子唱离歌,朝闻游,chao2,chao2/zhao1/zhu1,,unverified,
91,送魏万之京,3,5,中,云山况是客中过,是客中过,zhong1,zhong1/zhong4,,unverified,
91,送魏万之京,6,1,见,莫见长安行乐处,莫见长安,jian4,jian4/xian4,,unverified,
91,送魏万之京,6,2,长,莫见长安行乐处,莫见长安行,zhang3,zhang3/chang2,,unverified,
91,送魏万之京,6,4,行,莫见长安行乐处,长安行乐处,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
91,送魏万之京,6,6,处,莫见长安行乐处,行乐处,chu4,chu4/chu3,,unverified,
91,送魏万之京,7,1,令,空令岁月易蹉跎,空令岁月,ling4,ling4/ling2/ling3/lian2,,unverified,
92,怨情,2,1,见,但见泪痕湿,但见泪痕,jian4,jian4/xian4,,unverified,
93,琴歌,9,4,从,敢告云山从此始,云山从此始,cong2,cong2/zong4,,unverified,
94,枫桥夜泊,0,1,落,月落乌啼霜满天,月落乌啼,luo4,luo4/la4/lao4/luo1,,unverified,
95,赠孟浩然,4,3,中,醉月频中圣,月频中圣,zhong1,zhong1/zhong4,,unverified,
96,咏怀古迹五首·其五,2,1,分,三分割据纡筹策,三分割据,fen1,fen1/fen4/fen2,,unverified,
96,咏怀古迹五首·其五,4,3,间,伯仲之间见伊吕,仲之间见伊,jian1,jian1/jian4,,unverified,
96,咏怀古迹五首·其五,4,4,见,伯仲之间见伊吕,之间见伊吕,jian4,jian4/xian4,,unverified,
97,次北固山下,1,0,行,行舟绿水前,行舟绿,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
97,次北固山下,6,3,处,乡书何处达,书何处达,chu4,chu4/chu3,,unverified,
98,春思,2,0,当,当君怀归日,当君怀,dang1,dang1/dang4,,unverified,
98,春思,4,3,相,春风不相识,风不相识,xiang1,xiang1/xiang4,,unverified,
99,后宫词,3,0,斜,斜倚薰笼坐到明,斜倚薰,xie2,xie2/xia2/cha2/ye2,,unverified,
100,桃花溪,3,5,处,洞在清溪何处边,溪何处边,chu4,chu4/chu3,,unverified,
101,喜外弟卢纶见宿,2,1,中,雨中黄叶树,雨中黄叶,zhong1,zhong1/zhong4,,unverified,
101,喜外弟卢纶见宿,5,2,相,愧君相见频,愧君相见频,xiang1,xiang1/xiang4,,unverified,
101,喜外弟卢纶见宿,5,3,见,愧君相见频,君相见频,jian4,jian4/xian4,,unverified,
101,喜外弟卢纶见宿,6,4,分,平生自有分,自有分,fen1,fen1/fen4/fen2,,unverified,
102,望月怀远 / 望月怀古,3,3,相,竟夕起相思,夕起相思,xiang1,xiang1/xiang4,,unverified,
102,望月怀远 / 望月怀古,3,4,思,竟夕起相思,起相思,si1,si1/sai1,,unverified,
102,望月怀远 / 望月怀古,5,2,觉,披衣觉露滋,披衣觉露滋,jue2,jue2/jiao4,,unverified,
102,望月怀远 / 望月怀古,7,0,还,还寝梦佳期,还寝梦,hai2,hai2/huan2/fu2,,unverified,
104,辋川闲居赠裴秀才迪,4,3,落,渡头馀落日,头馀落日,luo4,luo4/la4/lao4/luo1,,unverified,
105,寻陆鸿渐不遇,6,3,中,报道山中去,道山中去,zhong1,zhong1/zhong4,,unverified,
105,寻陆鸿渐不遇,7,4,斜,归时每日斜,每日斜,xie2,xie2/xia2/cha2/ye2,,unverified,
106,宫词,0,3,中,十二楼中尽晓妆,二楼中尽晓,zhong1,zhong1/zhong4,,unverified,
106,宫词,1,6,王,望仙楼上望君王,望君王,wang2,wang2/wang4/yu4,,unverified,
106,宫词,3,6,长,水滴铜龙昼漏长,昼漏长,zhang3,zhang3/chang2,,unverified,
106,宫词,4,4,还,云髻罢梳还对镜,罢梳还对镜,hai2,hai2/huan2/fu2,,unverified,
106,宫词,5,4,更,罗衣欲换更添香,欲换更添香,geng4,geng4/geng1,,unverified,
106,宫词,6,6,处,遥窥正殿帘开处,帘开处,chu4,chu4/chu3,,unverified,
107,听弹琴,2,1,调,古调虽自爱,古调虽自,diao4,diao4/tiao2,,unverified,
108,寄左省杜拾遗,1,0,分,分曹限紫微,分曹限,fen1,fen1/fen4/fen2,,unverified,
108,寄左省杜拾遗,4,4,落,白发悲花落,悲花落,luo4,luo4/la4/lao4/luo1,,unverified,
